"Command","ReplyLength","ReplyHex","ReplyAscii"
"TA","2","3F 3B","?;"
"TB","2","3F 3B","?;"
"TC","2","3F 3B","?;"
"TD","2","3F 3B","?;"
"TE","2","3F 3B","?;"
"TF","2","3F 3B","?;"
"TG","2","3F 3B","?;"
"TH","2","3F 3B","?;"
"TI","2","3F 3B","?;"
"TJ","2","3F 3B","?;"
"TK","2","3F 3B","?;"
"TL","2","3F 3B","?;"
"TM","2","3F 3B","?;"
"TN","2","3F 3B","?;"
"TO","2","3F 3B","?;"
"TP","2","3F 3B","?;"
"TQ","2","3F 3B","?;"
"TR","2","3F 3B","?;"
"TS","2","3F 3B","?;"
"TT","2","3F 3B","?;"
"TU","2","3F 3B","?;"
"TV","2","3F 3B","?;"
"TW","2","3F 3B","?;"
"TY","2","3F 3B","?;"
"TZ","2","3F 3B","?;"
"UA","2","3F 3B","?;"
"UB","2","3F 3B","?;"
"UC","2","3F 3B","?;"
"UD","2","3F 3B","?;"
"UE","2","3F 3B","?;"
"UF","2","3F 3B","?;"
"UG","2","3F 3B","?;"
"UH","2","3F 3B","?;"
"UI","2","3F 3B","?;"
"UJ","2","3F 3B","?;"
"UM","2","3F 3B","?;"
"UN","2","3F 3B","?;"
"UO","2","3F 3B","?;"
"UQ","2","3F 3B","?;"
"UR","2","3F 3B","?;"
"UT","2","3F 3B","?;"
"UU","2","3F 3B","?;"
"UV","2","3F 3B","?;"
"UW","2","3F 3B","?;"
"UX","2","3F 3B","?;"
"UY","2","3F 3B","?;"
"UZ","2","3F 3B","?;"
"VA","2","3F 3B","?;"
"VB","2","3F 3B","?;"
"VC","2","3F 3B","?;"
"VE","2","3F 3B","?;"
"VF","2","3F 3B","?;"
"VH","2","3F 3B","?;"
"VI","2","3F 3B","?;"
"VJ","2","3F 3B","?;"
"VK","2","3F 3B","?;"
"VL","2","3F 3B","?;"
"VN","2","3F 3B","?;"
"VO","2","3F 3B","?;"
"VP","2","3F 3B","?;"
"VQ","2","3F 3B","?;"
"VU","2","3F 3B","?;"
"VV","2","3F 3B","?;"
"VW","2","3F 3B","?;"
"VY","2","3F 3B","?;"
"VZ","2","3F 3B","?;"
"WA","2","3F 3B","?;"
"WB","2","3F 3B","?;"
"WC","2","3F 3B","?;"
"WD","2","3F 3B","?;"
"WE","2","3F 3B","?;"
"WF","2","3F 3B","?;"
"WG","2","3F 3B","?;"
"WH","2","3F 3B","?;"
"WI","2","3F 3B","?;"
"WJ","2","3F 3B","?;"
"WK","2","3F 3B","?;"
"WL","2","3F 3B","?;"
"WM","2","3F 3B","?;"
"WN","2","3F 3B","?;"
"WO","2","3F 3B","?;"
